curriculum,curid,sylid,subjectCode,category,type,part,weight,completionCriteria,duration,clo,questionType,noQuestion,knowledgeSkill,gradingGuide,note,isSubComponent
BBA_IB_K19D20A,2446,13540,VOV114,Final exam,Final exam,1,100.0%,5,1.5 hours,,Test techniques,S? ph?n thi: 03* Lý thuy?t.* K? thu?t can b?n.* Th? l?c chung.,* Lý thuy?t.* K? thu?t can b?n.* Th? l?c chung.,Ch?n 1 trong 2 cách sau:* Sinh viên b?c tham câu h?i.* Gi?ng viên d?t yêu c?u d? sinh viên th?c hi?n.,"Thành l?p h?i d?ng ch?m thi. Ch? nhi?m BM là ch? t?ch h?i d?ng, phân công các GV vào các v? trí:* Thu ký h?i d?ng: giám sát tu cách d? thi c?a SV và t?ng h?p di?m.* Các t? ch?m thi tuong ?ng v?i 3 ph?n thi.",0
BBA_IB_K19D20A,2446,11834,DTR103,Bài t?p (Assignment),on-going,1,15.0%,>0,,,"Th?y cô có th? t? ch?c các ho?t d?ng, VD: thuy?t trình, làm workshop, vi?t lu?n, v.v. S?n ph?m ch?m di?m có th? là: bài thuy?t trình, slides, bài lu?n, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Ki?n th?c v? lo?i nh?c c? sinh viên h?c.Knowledge about musical instrument introduced in this course.,Giáo viên ch?m thang di?m 10 Scoring scale: 10,,0
BBA_IB_K19D20A,2446,11834,DTR103,Tham gia trên l?pParticipation,on-going,1,15.0%,>0,,,,,,"Ghi nh?n c?a GV v/v sinh viên tích c?c tham gia các ho?t d?ng, di h?c d?y d?, có bài lu?n. Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay. Thang di?m 10 Scoring scale: 10",,0
BBA_IB_K19D20A,2446,11834,DTR103,Thi cu?i k? Final exam,Final exam,1,70.0%,4,5phút/SV 5 min/students,,th?c hành practice,3 bài 3 songs,,"Sinh vi?n choi hòa t?u v?i nhau 1 bài dân ca Vi?t Nam và 1 bài nh?c c? truy?n, Students play 1 Vietnamese folk song and 1 traditional song in ensemble with other students Ð?c t?u 1 bài qu?c t?. Play solo 1 foreign song. Thang di?m 10 Scoring scale: 10",,0
BBA_IB_K19D20A,2446,13497,ECO111,Class Participation,on-going,1,10.0%,>0,,"LO10, LO11",,,,,"Option 1:Participation scores will be given based on students' class attendance, preparation, quantity as well as quality of participation in classroom; quality of participation is demonstrated through asking relevant questions, making statements that add to and facilitate class discussions, and building upon others’ comments. Class participation accounts for 14% of the final score. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",0
BBA_IB_K19D20A,2446,13497,ECO111,Group Assignment (01),on-going,1,30.0%,>0,15' for each group presentation and 10' for Q&A,"LO6, LO7, LO8, LO9, LO10, LO11","Option 1:Students will be divided into 4-6 groups in the first session. Students could join some in-class activities as members of those groups. Each group will be assigned one topic, or will choose one topic subject to the instructor's approval, which is related to current economic issues in the real world. Students need to apply all comprehensive knowledge of microeconomics to explain and analyze those issues. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: One topic related to real current economic problems for each group Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: This group presentation will test critical thinking and skills of applying microeconomic theory to explain and predict the economic phenomena in the real world.Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Preparation at home and group presentation in class room Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: The PPT slides and written report of the presentation must be sent to the instructor before deadlines. Each group presentation will take place in appx. 15 minutes. The Q&A session will follow for about 10 minutes. The Group Assignment accounts for 20% of the final score.,0
BBA_IB_K19D20A,2446,13497,ECO111,Individual Assignments (02),on-going,2,20.0%,>0,,"LO3, LO4, LO5, LO6, LO7, LO10, LO11",Option 1: Written homework in forms of computation exercises and open problems. Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: not detailledOption 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1:Coverage of Individual Assignment 1 is chapters 1, 2, 4, 5, 6, 7, 21. Coverage of Individual Assignment 2 is chapters 13, 14, 15, 16, 17, 10, 11, and 18. Specific content of each individual assignment is subject to the instructor's decisions. Questions can either be theoretical analysis, computational exercises, or case analysis.Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: Do at home and due according to deadlines Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1: In some particular sessions, homework assignments will be given to students. The exercises in these assignments will cover subjects from the session when the previous assignment is handed. Students are required to do individually at home and submit to the instructor according to the deadlines. There are 02 assignments, each of them will account for 10% of the students' final score.",0
BBA_IB_K19D20A,2446,13497,ECO111,Quizzes (02),on-going,2,10.0%,>0,15' each,"LO1, LO2, LO3, LO4, LO5",Option 1: Multiple choice questions Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: 15 questions. Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Option 1:Quizzes will test for knowledge of subjects in the relevant chapters assigned for quiz days. Coverage of Quiz 1 is chapters 1, 2, 4, 5, and 6. Coverage of Quiz 2 is chapters 7, 21, 13, 14, and 15. Option 2 (For Constructivism Approach only): Follow lecturer's proposal",Option 1: Class room Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Quizzes are organized in the beginning of some sessions and informed to students in advance. Students have time at home for preparation. Students are not allowed to use books or documents in any form during the quizzes. The content of quizzes will cover all knowledge from the last quiz. The total number of quizzes is 2. Each quiz has 15 questions and accounts for 5% of the final score.,0
BBA_IB_K19D20A,2446,13497,ECO111,Final Exam,Final exam,1,30.0%,4,60',All LOs,Multiple choice questions,50,"The questions will cover the lectures, in-class activities, exercises, and textbook materials.",Exam room,,0
BBA_IB_K19D20A,2446,13252,ENM302,Assignment 1,on-going,1,10.0%,>0,On-going,"CLOs 1, 3, 6, 10","Groupwork and role play: Form groups and perform a role-play simulating a typical day in an international business office.• Each student takes on a role (e.g., manager, client, team member, HR officer).• Engage in tasks such as conducting meetings, negotiating, handling conflicts, and giving presentations.• A 10-minute recorded video of the role-play.• A reflection report (300–500 words) explaining the communication strategies used and their relevance.• Suggested AI Tools:• ChatGPT for script drafting and scenario brainstorming.• Speechling or Elsa Speak for pronunciation and fluency practice.• Canva for Education for visual aids in presentations.",1,Knowledge and skills in studied unit(s): Unit 6,Students work in groups,,0
