curriculum,curid,slot,semester,comboName,subjectCode,noCredit,countsGPA,sylid
BBA_IB_K19D20A,2446,PHE_COM*1,0,PHE_COM1: Vovinam,VOV114,2,Không,13540
BBA_IB_K19D20A,2446,PHE_COM*1,0,PHE_COM2: C? Vua,COV111,2,Không,11847
BBA_IB_K19D20A,2446,TMI_ELE,0,,DTR103,3,Không,11834
BBA_IB_K19D20A,2446,PHE_COM*2,1,PHE_COM1: Vovinam,VOV124,2,Không,13539
BBA_IB_K19D20A,2446,PHE_COM*2,1,PHE_COM2: C? Vua,COV121,2,Không,11848
BBA_IB_K19D20A,2446,PHE_COM*3,2,PHE_COM1: Vovinam,VOV134,2,Không,13537
BBA_IB_K19D20A,2446,PHE_COM*3,2,PHE_COM2: C? Vua,COV131,2,Không,11849
BBA_IB_K19D20A,2446,IB_COM*1,7,IB_COM1: International Finance_Tài chính qu?c t?,FIN308,3,Có,11051
BBA_IB_K19D20A,2446,IB_COM*1,7,IB_COM2: Logistics and Supply Chain Management_Logistics và qu?n tr? chu?i cung ?ng,IIP301,3,Có,12378
BBA_IB_K19D20A,2446,IB_COM*1,7,IB_COM4: Finance_Tài chính,FIN201,3,Có,13792
BBA_IB_K19D20A,2446,IB_COM*1,7,IB_COM5: Hotel Management_Qu?n tr? khách s?n,HOM202,3,Có,11445
BBA_IB_K19D20A,2446,IB_COM*1,7,IB_COM3.2: Marketing,DMS301m,3,Có,13596
BBA_IB_K19D20A,2446,IB_COM*1,7,IB_COM6.1: Communication and Multimedia_Qu?n tr? truy?n thông da phuong ti?n,CMC201c,3,Có,12605
BBA_IB_K19D20A,2446,IB_COM*2,7,IB_COM1: International Finance_Tài chính qu?c t?,FIN308,3,Có,11051
BBA_IB_K19D20A,2446,IB_COM*2,7,IB_COM2: Logistics and Supply Chain Management_Logistics và qu?n tr? chu?i cung ?ng,IIP301,3,Có,12378
BBA_IB_K19D20A,2446,IB_COM*2,7,IB_COM4: Finance_Tài chính,FIN201,3,Có,13792
BBA_IB_K19D20A,2446,IB_COM*2,7,IB_COM5: Hotel Management_Qu?n tr? khách s?n,HOM202,3,Có,11445
BBA_IB_K19D20A,2446,IB_COM*2,7,IB_COM3.2: Marketing,DMS301m,3,Có,13596
BBA_IB_K19D20A,2446,IB_COM*2,7,IB_COM6.1: Communication and Multimedia_Qu?n tr? truy?n thông da phuong ti?n,CMC201c,3,Có,12605
