curriculum,curid,sylid,subjectCode,text,href
BBA_IB_K19D20A,2446,13497,ECO111,ECOchap1-8,https://flm.fpt.edu.vn/download/10044/S/1_ECOchap1-8.zip
BBA_IB_K19D20A,2446,13497,ECO111,ECOchap9-16,https://flm.fpt.edu.vn/download/10044/S/2_ECOchap9-16.zip
BBA_IB_K19D20A,2446,13497,ECO111,ECOchap17-24,https://flm.fpt.edu.vn/download/10044/S/3_ECOchap17-24.zip
BBA_IB_K19D20A,2446,13497,ECO111,ECOchap25-32,https://flm.fpt.edu.vn/download/10044/S/4_ECOchap25-32.zip
BBA_IB_K19D20A,2446,13497,ECO111,ECOchap33-36,https://flm.fpt.edu.vn/download/10044/S/5_ECOchap33-36.zip
BBA_IB_K19D20A,2446,14193,MGT103,MGT103,https://flm.fpt.edu.vn/download/11474/S/1_MGT103.zip
BBA_IB_K19D20A,2446,14193,MGT103,MGT103,https://flm.fpt.edu.vn/download/11474/S/2_MGT103.zip
BBA_IB_K19D20A,2446,14193,MGT103,MGT103_Ethics of AI Course introduction,https://flm.fpt.edu.vn/download/11474/S/3_MGT103_Ethics%20of%20AI%20Course%20introduction.zip
BBA_IB_K19D20A,2446,14193,MGT103,MGT103_AI Ethics_required materials_for student,https://flm.fpt.edu.vn/download/13498/S/4_MGT103_AI%20Ethics_required%20materials_for%20student.zip
BBA_IB_K19D20A,2446,13458,MKT101,MKT101,https://flm.fpt.edu.vn/download/4369/S/1_MKT101.zip
BBA_IB_K19D20A,2446,13458,MKT101,MKT101,https://flm.fpt.edu.vn/download/4369/S/2_MKT101.zip
BBA_IB_K19D20A,2446,13458,MKT101,MKT101 AI Integration Guide_FA25,https://flm.fpt.edu.vn/download/13270/S/3_MKT101%20AI%20Integration%20Guide_FA25.zip
BBA_IB_K19D20A,2446,14030,ACC101,ACC101_Chapter 8-11,https://flm.fpt.edu.vn/download/14030/S/1_ACC101_Chapter%208-11.zip
BBA_IB_K19D20A,2446,14030,ACC101,ACC101_Chapter1-7,https://flm.fpt.edu.vn/download/14030/S/2_ACC101_Chapter1-7.zip
BBA_IB_K19D20A,2446,13599,ECO121,ECOchap1-8,https://flm.fpt.edu.vn/download/10046/S/1_ECOchap1-8.zip
BBA_IB_K19D20A,2446,13599,ECO121,ECOchap9-16,https://flm.fpt.edu.vn/download/10046/S/2_ECOchap9-16.zip
BBA_IB_K19D20A,2446,13599,ECO121,ECOchap17-24,https://flm.fpt.edu.vn/download/10046/S/3_ECOchap17-24.zip
BBA_IB_K19D20A,2446,13599,ECO121,ECOchap25-32,https://flm.fpt.edu.vn/download/10046/S/4_ECOchap25-32.zip
BBA_IB_K19D20A,2446,13599,ECO121,ECOchap33-36,https://flm.fpt.edu.vn/download/10046/S/5_ECOchap33-36.zip
BBA_IB_K19D20A,2446,11845,SSG104,SSG104,https://flm.fpt.edu.vn/download/10084/S/1_SSG104.zip
BBA_IB_K19D20A,2446,11845,SSG104,SSG104,https://flm.fpt.edu.vn/download/10084/S/2_SSG104.zip
BBA_IB_K19D20A,2446,11845,SSG104,SSG104,https://flm.fpt.edu.vn/download/10084/S/3_SSG104.zip
BBA_IB_K19D20A,2446,11845,SSG104,SSG104,https://flm.fpt.edu.vn/download/10084/S/4_SSG104.zip
BBA_IB_K19D20A,2446,11845,SSG104,SSG104,https://flm.fpt.edu.vn/download/10084/S/5_SSG104.zip
BBA_IB_K19D20A,2446,13709,ECO201,ECO201_Chap 1 to 5_ppt,https://flm.fpt.edu.vn/download/11513/S/1_ECO201_Chap%201%20to%205_ppt.zip
BBA_IB_K19D20A,2446,13709,ECO201,ECO201_Chap 6 to 10_ppt,https://flm.fpt.edu.vn/download/11513/S/2_ECO201_Chap%206%20to%2010_ppt.zip
BBA_IB_K19D20A,2446,13709,ECO201,ECO201_Chap 11 to 16_ppt,https://flm.fpt.edu.vn/download/11513/S/3_ECO201_Chap%2011%20to%2016_ppt.zip
BBA_IB_K19D20A,2446,13709,ECO201,ECO201_Chap 17 to 22_ppt,https://flm.fpt.edu.vn/download/11513/S/4_ECO201_Chap%2017%20to%2022_ppt.zip
BBA_IB_K19D20A,2446,13709,ECO201,ECO201_Chaps 21 22,https://flm.fpt.edu.vn/download/10636/S/5_ECO201_Chaps%2021%2022.zip
BBA_IB_K19D20A,2446,14056,FIN202,FIN202,https://flm.fpt.edu.vn/download/9590/S/1_FIN202.zip
BBA_IB_K19D20A,2446,14056,FIN202,FIN202,https://flm.fpt.edu.vn/download/9590/S/2_FIN202.zip
BBA_IB_K19D20A,2446,14056,FIN202,fin4,https://flm.fpt.edu.vn/download/940/S/4_fin4.zip
BBA_IB_K19D20A,2446,14056,FIN202,fin5,https://flm.fpt.edu.vn/download/940/S/5_fin5.zip
