curriculum,curid,sylid,subjectCode,materialDescription,author,publisher,publishedDate,edition,isbn,isMain,isHardCopy,isOnline,note
BBA_IB_K19D20A,2446,13151,OTP101,Introductory documents aout FPT Group and FPT University,,,,,,,,,
BBA_IB_K19D20A,2446,13151,OTP101,"""H?i ký: T? nhân dân mà ra""",,,,,,,,,
BBA_IB_K19D20A,2446,13151,OTP101,"""H?i ký: Nh?ng di?u d?ng l?i qua hai cu?c chi?n tranh""",,,,,,,,,
BBA_IB_K19D20A,2446,13151,OTP101,"""H?i ký: T?ng hành dinh""",,,,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Giáo trình V? sinh th? d?c th? thao,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Lý lu?n và phuong pháp GDTC,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Lý lu?n và phuong pháp hu?n luy?n th? thao,,"NXB TTTT, Hà N?i (2017)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Sách K? thu?t Vovinam-Vi?t Võ Ð?o t?p 1,,"NXB TDTT, HN (2008)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Sách th?c võ d?o Vovinam,,Tài li?u n?i b? Vovinam,,,,,,,
BBA_IB_K19D20A,2446,11834,DTR103,"Sách h?c Ðàn Tranh ""Sa´ch h?c Ða`n Tranh""",Tác gi?: Bích Vu?ng- Ðinh Th? N?iAuthors: Bich Vuong - Dinh Thi Noi,H?c viên Âm nh?c qu?c gia VNVietnam National Academy of Music,N/A,,,,,,
BBA_IB_K19D20A,2446,11834,DTR103,Bài t?p luy?n k? thu?t dàn Tranh Exercises to practice techniques of Dan Tranh,,,,,,,,,
BBA_IB_K19D20A,2446,11834,DTR103,Danh m?c các bài nh?c có th? s? d?ng trong h?c ph?n: 1.Tam pháp nh?p môn- Nh?c c? mi?n Nam 2. Xuân phong- Long h?- Nhã nh?c cung dình Hu? 3. Lý cây bông- Dân ca Nam B? 4. Lý cây da- Dân ca quan h? B?c Ninh 5. Lý kéo chài- Dân ca Nam B? 6. Ðang dàn cung- Nhã nh?c cung dình Hu? 7. Qua c?u gió bay- Dân ca quan h? B?c Ninh 8. Th?ng Cu?i- Lê Thuong 9. Ohnara- Ost phim Deajangum 10. Gi?c mo trua-Giáng Son 11. Nh?t kí c?a m?- Nguy?n Van Chung 12. Ð?i hoa m?t tr?i-Nguy?n Van Chung 13. Con bu?m Xuân-nh?c Hoa 14. Ð?i Ngu-nh?c Hoa 15. Yume To Hazakura- nh?c Nh?t 16. Fly away- Debelah Morgan 17. Y?n vô hi?t- Nh?c Hoa 18. Jingle Bells- James Pierpoint 19. Happy birthday- Nh?c qu?c t? 20.Fly away- Nh?c qu?c t? 21. Hào khí Vi?t Nam (Holy Th?ng) 22. G?p m? trong mo- Nh?c Hoa,,,,,,,,,
BBA_IB_K19D20A,2446,13497,ECO111,Principles of Economics,"Mankiw, N. G.",South-Western CENGAGE Learning,2011,6th,978-0-538-45342-4,,,,
BBA_IB_K19D20A,2446,13497,ECO111,Principles of Economics (International Edition),"Mankiw, N. G.",South-Western CENGAGE Learning,2018,8th,978-1-305-58512-6,,,,
BBA_IB_K19D20A,2446,13497,ECO111,Principles of Microeconomics (International Edition),"Mankiw, N. G.",South-Western Cengage Learning,2009,5th edition,,,,,https://openlibrary.org/books/OL23174415M/Principles_of_microeconomics
BBA_IB_K19D20A,2446,13497,ECO111,AE Principles of Economics,N. Gregory Mankiw,Cengage,2020,9th,ISBN-13: 9789814915342 | ISBN-10: 9814915343,,,,Ch?n m?t trong 3 quy?n. N?u mua uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,13252,ENM302,Business Partner B1+,"M O'Keefe, Lewis Lansford et al.",Pearson,2021,,9781292248561,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Business Partner B2,Iwonna DubickaMarjorie RosenbergBob DignenMike HoganLizzie Wright,Pearson,2021,,9781292248585,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Learn English British council: https://learnenglish.britishcouncil.org/business-english,,,,,,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Market Leader level Intermediate,David Cotton et al,Pearson.,2012,,9781408236956,,,,
BBA_IB_K19D20A,2446,13252,ENM302,MyEnglishLab,,,,,,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Prompt Engineering for ChatGPT,Prompt Engineering for ChatGPT by Vanderbilt | Coursera,Coursera,,,,,,,
BBA_IB_K19D20A,2446,14193,MGT103,AE Fundamentals of Management Ricky,Ricky Griffin,Cengage,2021,10th,,,,,Ch?n 1 trong 2 ?n b?n. Uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,14193,MGT103,Fundamentals of Management,Ricky W.Griffin,Cengage,2019,9th,,,,,
BBA_IB_K19D20A,2446,14193,MGT103,Essentials of Management,Adrew.J. DuBrin,Cengage,2011,9th,,,,,
BBA_IB_K19D20A,2446,14193,MGT103,Coursera course Ethics of Artificial Intelligence https://www.coursera.org/learn/ethics-of-artificial-intelligence,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,13458,MKT101,Principles of Marketing,"Kotler, Philip and Armstrong, Gary",Pearson,2020,18th Edition,,,,,
